query_id,query_text,query_type,hard_case_bucket,gold_answer,ambiguity_label,conflict_label,freshness_requirement_days,refusal_expected,split,context_city,context_state,context_lat,context_lon,num_claims,num_evidence,notes
gg_9e5e5bea,"What county is 450 County Line Rd, Greenville, SC in?",boundary,boundary_adjacent,[County TBD - requires GIS lookup],unambiguous,none,365,False,test,Greenville,SC,34.8526,-82.394,1,0,Address near boundary in Greenville
gg_27aa0919,"What county is 123 State St, Texarkana, TX in?",boundary,boundary_adjacent,[County TBD - requires GIS lookup],unambiguous,none,365,False,test,Texarkana,TX,33.4418,-94.0377,1,0,Address near boundary in Texarkana
gg_83394107,"What county is 789 Border Ave, El Paso, TX in?",boundary,boundary_adjacent,[County TBD - requires GIS lookup],unambiguous,none,365,False,test,El Paso,TX,31.7619,-106.485,1,0,Address near boundary in El Paso
gg_9ef26004,"What county is 100 Division Blvd, Kansas City, MO in?",boundary,boundary_adjacent,[County TBD - requires GIS lookup],unambiguous,none,365,False,dev,Kansas City,MO,39.0997,-94.5786,1,0,Address near boundary in Kansas City
gg_3dd7cfed,"What county is 555 Boundary Pkwy, Bristol, TN in?",boundary,boundary_adjacent,[County TBD - requires GIS lookup],unambiguous,none,365,False,dev,Bristol,TN,36.5951,-82.1887,1,0,Address near boundary in Bristol
gg_ec73717c,"What county is 321 Line Rd, Delmar, NY in?",boundary,boundary_adjacent,[County TBD - requires GIS lookup],unambiguous,none,365,False,dev,Delmar,NY,42.6223,-73.8326,1,0,Address near boundary in Delmar
gg_6621425e,"What county is 888 Edge Dr, Union City, NJ in?",boundary,boundary_adjacent,[County TBD - requires GIS lookup],unambiguous,none,365,False,dev,Union City,NJ,40.7795,-74.0324,1,0,Address near boundary in Union City
gg_bacbea12,"What county is 200 Split Rock Rd, Stamford, CT in?",boundary,boundary_adjacent,[County TBD - requires GIS lookup],unambiguous,none,365,False,dev,Stamford,CT,41.0534,-73.5387,1,0,Address near boundary in Stamford
gg_5e96d30c,"What county is 444 Frontier St, Nogales, AZ in?",boundary,boundary_adjacent,[County TBD - requires GIS lookup],unambiguous,none,365,False,dev,Nogales,AZ,31.3404,-110.9343,1,0,Address near boundary in Nogales
gg_4f75188b,"What county is 600 Divide Ave, Lakewood, CO in?",boundary,boundary_adjacent,[County TBD - requires GIS lookup],unambiguous,none,365,False,dev,Lakewood,CO,39.7047,-105.0814,1,0,Address near boundary in Lakewood
gg_d7620c99,What county is Springfield in?,place_disambiguation,ambiguous_name,[AMBIGUOUS - Springfield exists in multiple states],needs_clarification,none,,True,test,Springfield,,,,1,0,Springfield exists in multiple US states
gg_0b74dc28,What county is Washington in?,place_disambiguation,ambiguous_name,[AMBIGUOUS - Washington exists in multiple states],needs_clarification,none,,True,test,Washington,,,,1,0,Washington exists in multiple US states
gg_b84b5ba3,What county is Franklin in?,place_disambiguation,ambiguous_name,[AMBIGUOUS - Franklin exists in multiple states],needs_clarification,none,,True,test,Franklin,,,,1,0,Franklin exists in multiple US states
gg_aca143ef,What county is Clinton in?,place_disambiguation,ambiguous_name,[AMBIGUOUS - Clinton exists in multiple states],needs_clarification,none,,True,dev,Clinton,,,,1,0,Clinton exists in multiple US states
gg_c337710a,What county is Madison in?,place_disambiguation,ambiguous_name,[AMBIGUOUS - Madison exists in multiple states],needs_clarification,none,,True,dev,Madison,,,,1,0,Madison exists in multiple US states
gg_9b1bfb8e,What county is Georgetown in?,place_disambiguation,ambiguous_name,[AMBIGUOUS - Georgetown exists in multiple states],needs_clarification,none,,True,dev,Georgetown,,,,1,0,Georgetown exists in multiple US states
gg_ae38953c,What county is Salem in?,place_disambiguation,ambiguous_name,[AMBIGUOUS - Salem exists in multiple states],needs_clarification,none,,True,dev,Salem,,,,1,0,Salem exists in multiple US states
