query_id,query_text,query_type,gold_answer,hard_case_bucket,split,ambiguity_label,conflict_label,freshness_requirement_days,refusal_expected,num_evidence,context_city,context_state,notes
gg_3859c161,"What county contains the location (33.4418, -94.0377)?",boundary,"Bowie County, Texas",boundary_adjacent,dev,unambiguous,none,,True,1,Texarkana,Texas,City straddles TX-AR border. Distance to boundary: 45m.
gg_e2f92e12,"What county contains the location (39.1142, -94.6275)?",boundary,"Wyandotte County, Kansas",boundary_adjacent,dev,unambiguous,none,,False,1,Kansas City,Kansas,Near state line with Missouri. Distance to boundary: 120m.
gg_a8069f52,"What county contains the location (36.5951, -82.1887)?",boundary,"Sullivan County, Tennessee",boundary_adjacent,dev,unambiguous,none,,True,1,Bristol,Tennessee,State Street is the TN-VA dividing line. Distance to boundary: 30m.
gg_42d5beed,"What county contains the location (38.6244, -90.1534)?",boundary,"St. Clair County, Illinois",boundary_adjacent,test,unambiguous,none,,False,1,East St. Louis,Illinois,"Across Mississippi River from St. Louis, MO. Distance to boundary: 200m."
gg_9c9da921,"What county contains the location (31.3404, -110.9343)?",boundary,"Santa Cruz County, Arizona",boundary_adjacent,test,unambiguous,none,,False,1,Nogales,Arizona,On US-Mexico border. Distance to boundary: 80m.
gg_460e16bd,"What county contains the location (34.8526, -82.394)?",boundary,"Greenville County, South Carolina",boundary_adjacent,dev,unambiguous,none,,False,1,Greenville,South Carolina,Near Greenville-Pickens county line. Distance to boundary: 150m.
gg_7449d174,"What county contains the location (32.5522, -117.0432)?",boundary,"San Diego County, California",boundary_adjacent,dev,unambiguous,none,,False,1,South San Diego,California,Near US-Mexico border. Distance to boundary: 250m.
gg_c875f5f1,"What county contains the location (41.9032, -87.6403)?",boundary,"Cook County, Illinois",boundary_adjacent,dev,unambiguous,none,,False,1,North Chicago,Illinois,"Interior point, far from boundary. Distance to boundary: 500m."
gg_591a4150,"What county contains the location (39.9526, -75.1652)?",boundary,"Philadelphia County, Pennsylvania",boundary_adjacent,dev,unambiguous,none,,False,1,Central Philadelphia,Pennsylvania,Philadelphia County = City of Philadelphia. Distance to boundary: 350m.
gg_8ead93c1,"What county contains the location (31.7619, -106.485)?",boundary,"El Paso County, Texas",boundary_adjacent,test,unambiguous,none,,False,1,El Paso,Texas,Near TX-NM and US-Mexico borders. Distance to boundary: 100m.
gg_a5e334d9,"What county contains the location (40.7081, -73.9571)?",boundary,"Kings County, New York",boundary_adjacent,test,unambiguous,none,,False,1,Brooklyn,New York,Brooklyn = Kings County; near Queens. Distance to boundary: 85m.
gg_f60ecb91,"What county contains the location (40.7282, -73.7949)?",boundary,"Queens County, New York",boundary_adjacent,test,unambiguous,none,,False,1,Eastern Queens,New York,Queens = Queens County. Distance to boundary: 200m.
gg_937b238e,"What county contains the location (40.8448, -73.8648)?",boundary,"Bronx County, New York",boundary_adjacent,dev,unambiguous,none,,False,1,North Bronx,New York,Bronx = Bronx County. Distance to boundary: 150m.
gg_44b469be,"What county contains the location (40.6437, -74.0765)?",boundary,"Richmond County, New York",boundary_adjacent,dev,unambiguous,none,,False,1,Staten Island,New York,Staten Island = Richmond County. Distance to boundary: 300m.
gg_e39cdf05,"What county contains the location (40.7831, -73.9712)?",boundary,"New York County, New York",boundary_adjacent,dev,unambiguous,none,,False,1,Upper Manhattan,New York,Manhattan = New York County. Distance to boundary: 180m.
gg_f1c9e261,"What county contains the location (43.0962, -79.0377)?",boundary,"Niagara County, New York",boundary_adjacent,dev,unambiguous,none,,False,1,Niagara Falls,New York,On US-Canada border. Distance to boundary: 60m.
gg_c22ff257,"What county contains the location (42.3314, -83.0458)?",boundary,"Wayne County, Michigan",boundary_adjacent,dev,unambiguous,none,,False,1,Detroit,Michigan,"On Detroit River; Windsor, ON across. Distance to boundary: 150m."
gg_bd0c373d,"What county contains the location (48.9936, -122.7467)?",boundary,"Whatcom County, Washington",boundary_adjacent,dev,unambiguous,none,,True,1,Blaine,Washington,Peace Arch border crossing. Distance to boundary: 40m.
gg_8ca550ca,"What county contains the location (38.2542, -85.7594)?",boundary,"Jefferson County, Kentucky",boundary_adjacent,dev,unambiguous,none,,False,1,Louisville,Kentucky,On Ohio River; Indiana across. Distance to boundary: 180m.
gg_0eceadd8,"What county contains the location (39.1031, -84.512)?",boundary,"Hamilton County, Ohio",boundary_adjacent,dev,unambiguous,none,,False,1,Cincinnati,Ohio,On Ohio River; Kentucky across. Distance to boundary: 220m.
gg_3519690b,"What county contains the location (45.5152, -122.6784)?",boundary,"Multnomah County, Oregon",boundary_adjacent,dev,unambiguous,none,,False,1,Portland,Oregon,Columbia River = OR-WA border. Distance to boundary: 280m.
gg_dcb98e98,"What county contains the location (45.6387, -122.6615)?",boundary,"Clark County, Washington",boundary_adjacent,test,unambiguous,none,,False,1,Vancouver,Washington,"Across from Portland, OR. Distance to boundary: 250m."
gg_0e5fc4a1,"What county contains the location (39.7391, -75.5398)?",boundary,"New Castle County, Delaware",boundary_adjacent,dev,unambiguous,none,,False,1,Wilmington,Delaware,"Near PA, NJ, MD borders. Distance to boundary: 130m."
gg_d4a12875,"What county contains the location (40.7357, -74.1724)?",boundary,"Essex County, New Jersey",boundary_adjacent,dev,unambiguous,none,,False,1,Newark,New Jersey,Near NY border. Distance to boundary: 320m.
gg_5bd0766c,"What county contains the location (39.9259, -75.1196)?",boundary,"Camden County, New Jersey",boundary_adjacent,test,unambiguous,none,,False,1,Camden,New Jersey,Across Delaware River from Philadelphia. Distance to boundary: 90m.
gg_8fd91a35,"What county contains the location (27.5064, -99.5075)?",boundary,"Webb County, Texas",boundary_adjacent,test,unambiguous,none,,False,1,Laredo,Texas,On US-Mexico border. Distance to boundary: 70m.
gg_ea5c30e4,"What county contains the location (25.9017, -97.4975)?",boundary,"Cameron County, Texas",boundary_adjacent,dev,unambiguous,none,,False,1,Brownsville,Texas,Southernmost county in Texas. Distance to boundary: 55m.
gg_9097c960,"What county contains the location (32.6789, -115.4989)?",boundary,"Imperial County, California",boundary_adjacent,dev,unambiguous,none,,True,1,Calexico,California,"Sister city to Mexicali, Mexico. Distance to boundary: 45m."
gg_f8254ed2,"What county contains the location (32.5422, -117.0431)?",boundary,"San Diego County, California",boundary_adjacent,test,unambiguous,none,,True,1,San Ysidro,California,Busiest land border crossing. Distance to boundary: 35m.
gg_c0947c60,"What county contains the location (32.6927, -114.6277)?",boundary,"Yuma County, Arizona",boundary_adjacent,dev,unambiguous,none,,False,1,Yuma,Arizona,Near CA border and Mexico. Distance to boundary: 95m.
gg_4fc894a9,"What county contains the location (39.5296, -119.8138)?",boundary,"Washoe County, Nevada",boundary_adjacent,test,unambiguous,none,,False,1,Reno,Nevada,Near CA border; Lake Tahoe area. Distance to boundary: 180m.
gg_2a0c01ef,"What county contains the location (46.8772, -96.7898)?",boundary,"Cass County, North Dakota",boundary_adjacent,dev,unambiguous,none,,False,1,Fargo,North Dakota,Red River = ND-MN border. Distance to boundary: 110m.
gg_a379cf45,"What county contains the location (41.0534, -73.5387)?",boundary,"Fairfield County, Connecticut",boundary_adjacent,test,unambiguous,none,,False,1,Stamford,Connecticut,Near NY border. Distance to boundary: 160m.
gg_5716cc11,"What county contains the location (40.7795, -74.0324)?",boundary,"Hudson County, New Jersey",boundary_adjacent,dev,unambiguous,none,,False,1,Union City,New Jersey,Across Hudson River from Manhattan. Distance to boundary: 200m.
gg_a1173dbd,"What county contains the location (38.6554, -90.3009)?",boundary,"St. Louis City, Missouri",boundary_adjacent,dev,unambiguous,none,,False,1,St. Louis,Missouri,Independent city; not in St. Louis County. Distance to boundary: 75m.
gg_dfdb4c95,"What county contains the location (40.2206, -74.7597)?",boundary,"Mercer County, New Jersey",boundary_adjacent,dev,unambiguous,none,,False,1,Trenton,New Jersey,On Delaware River; PA across. Distance to boundary: 140m.
gg_bab50afe,"What county contains the location (41.5934, -87.3464)?",boundary,"Lake County, Indiana",boundary_adjacent,test,unambiguous,none,,False,1,Gary,Indiana,Near IL border and Lake Michigan. Distance to boundary: 230m.
gg_e0b2acc5,"What county contains the location (40.769, -74.0146)?",boundary,"Hudson County, New Jersey",boundary_adjacent,dev,unambiguous,none,,False,1,Weehawken,New Jersey,Directly across from Manhattan. Distance to boundary: 85m.
gg_e17af4a0,"What county contains the location (42.3118, -83.0756)?",boundary,"Wayne County, Michigan",boundary_adjacent,dev,unambiguous,none,,False,1,SW Detroit,Michigan,Near Ambassador Bridge to Canada. Distance to boundary: 120m.
gg_af35163a,"What county contains the location (33.4255, -111.94)?",boundary,"Maricopa County, Arizona",boundary_adjacent,dev,unambiguous,none,,False,1,Tempe,Arizona,Interior point in Phoenix metro. Distance to boundary: 400m.
